section,type,field,party,candidate,got,expected,comment
020400183,preferences,candidate,20,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,20,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,21,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,21,Без,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,22,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,103,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,105,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,106,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,107,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,108,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,109,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,110,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,111,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,112,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,22,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,23,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,23,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,23,103,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,23,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,23,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,24,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,24,102,MISSING,total=0 paper=0 machine=0,missing_data
